folder , version, last available data, number of countries , number of zones , countries , modelling zones , 
./runs/base-mobility-fullrun-20200527T230708-3790666 , v5, 2020-03-24 , 1 , 14, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-mobility-fullrun-20200528T223059-3792704 , v5, 2020-03-24 , 1 , 14, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200423T024310-3636909 , v2, 2020-03-24 , 1 , 15, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "France"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200423T191520-3638433 , v2, 2020-03-24 , 1 , 15, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "France"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200501T183749-3677778 , v3, 2020-03-24 , 1 , 15, "France"; , "Auvergne-Rhône-Alpes"; "Bourgogne-Franche-Comté"; "Bretagne"; "Corse"; "France"; "France-OC19"; "France-hopitaux"; "Grand Est"; "Hauts-de-France"; "Normandie"; "Nouvelle-Aquitaine"; "Occitanie"; "Pays de la Loire"; "Provence-Alpes-Côte d'Azur"; "Île-de-France"; , 
./runs/base-fullrun-20200501T232541-3678269 , v3, 2020-03-24 , 1 , 29, "France"; , "Aisne"; "Aude"; "Bas-Rhin"; "Corse-du-Sud"; "Côte-d'Or"; "Doubs"; "France"; "Haut-Rhin"; "Haute-Savoie"; "Hauts-de-Seine"; "Hérault"; "Loire"; "Marne"; "Meurthe-et-Moselle"; "Morbihan"; "Moselle"; "Oise"; "Paris"; "Rhône"; "Saône-et-Loire"; "Seine-Maritime"; "Seine-Saint-Denis"; "Seine-et-Marne"; "Somme"; "Territoire de Belfort"; "Val-d'Oise"; "Val-de-Marne"; "Vosges"; "Yvelines"; , 
./runs/base-mobility-fullrun-20200526T225333-3789804 , v5, 2020-03-24 , 13 , 13, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , 
./runs/base-mobility-fullrun-20200526T225529-3789804 , v5, 2020-03-24 , 13 , 13, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , 
./runs/base-mobility-fullrun-20200527T230709-3790665 , v5, 2020-03-24 , 13 , 13, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , 
./runs/base-mobility-fullrun-20200528T222228-3792703 , v5, 2020-03-24 , 13 , 13, "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , "Austria"; "Belgium"; "Denmark"; "France"; "Germany"; "Greece"; "Italy"; "Netherlands"; "Portugal"; "Spain"; "Sweden"; "Switzerland"; "United_Kingdom"; , 
