"","region","country","IFR"
"1","Auvergne-Rhône-Alpes","France",0.012556187488595
"2","Bourgogne-Franche-Comté","France",0.012556187488595
"3","Bretagne","France",0.012556187488595
"4","Centre-Val de Loire","France",0.012556187488595
"5","Corse","France",0.012556187488595
"6","Grand Est","France",0.012556187488595
"7","Hauts-de-France","France",0.012556187488595
"8","Normandie","France",0.012556187488595
"9","Nouvelle-Aquitaine","France",0.012556187488595
"10","Occitanie","France",0.012556187488595
"11","Pays de la Loire","France",0.012556187488595
"12","Provence-Alpes-Côte d'Azur","France",0.012556187488595
"13","Île-de-France","France",0.012556187488595
"14","France-hopitaux","France",0.012556187488595
"15","France-EHPAD","France",0.012556187488595
"16","Denmark","Denmark",0.0102074697882139
"17","Italy","Italy",0.0124496263593357
"18","Germany","Germany",0.0123324426034139
"19","Spain","Spain",0.0107838730158524
"20","United_Kingdom","United_Kingdom",0.0103504384028517
"21","France","France",0.012556187488595
"22","Norway","Norway",0.00914956406203488
"23","Belgium","Belgium",0.0109598776668092
"24","Austria","Austria",0.0103882259256609
"25","Sweden","Sweden",0.0103110432111081
"26","Switzerland","Switzerland",0.0102134528252841
"27","Greece","Greece",0.0117992290838236
"28","Portugal","Portugal",0.0117258680881815
"29","Netherlands","Netherlands",0.010289760240957
