"","time","country","estimated_deaths_forecast","estimated_deaths_forecast_min","estimated_deaths_forecast_max","estimated_deaths_forecast_c","estimated_deaths_forecast_min_c","estimated_deaths_forecast_max_c","estimated_cases_forecast_c","estimated_cases_forecast_min_c","estimated_cases_forecast_max_c","estimated_cases_forecast","estimated_cases_forecast_min","estimated_cases_forecast_max","rt","rt_min","rt_max"
"1",2020-03-24,"Auvergne-Rhône-Alpes",16.6736118139658,10.0428673814214,25.991879424622,102.527906699619,63.9007849722141,159.043254489817,140664.289012094,31495.4846511526,362081.550442017,17022.0065420475,746.642286410114,59654.0395194125,1.7665501746008,0.386397765443009,3.13327630357866
"2",2020-03-25,"Auvergne-Rhône-Alpes",19.4283543689932,11.2864673721511,30.9206102837628,121.956261068612,75.1872523443652,189.96386477358,160211.670194037,32164.1907263772,434611.402400218,19547.3811819428,668.706075224569,72529.8519582012,1.76593035692732,0.386393746399942,3.13142957949452
"3",2020-03-26,"Auvergne-Rhône-Alpes",22.5048913553908,12.4214069492036,37.0086315109149,144.461152424003,87.6086592935688,226.972496284495,182716.971245276,32766.423393029,522228.293726476,22505.3010512396,602.232666651797,87616.8913262575,1.7652088570937,0.386390159852395,3.12918030366178
"4",2020-03-27,"Auvergne-Rhône-Alpes",25.9351082022551,13.7234288944377,44.4168868241737,170.396260626258,101.332088188007,271.389383108668,208689.555377686,33313.8359225177,628414.791974291,25972.5841324098,547.412529488763,106186.498247815,1.76436743418784,0.386386964289205,3.12508233184234
"5",2020-03-28,"Auvergne-Rhône-Alpes",29.759245782762,14.6917767462745,53.4014458558837,200.15550640902,116.023864934281,324.790828964552,238729.087061539,33805.3114166415,755770.690259686,30039.5316838534,491.475494123713,127355.898285395,1.76338448164245,0.38638411923448,3.11989918608421
"6",2020-03-29,"Auvergne-Rhône-Alpes",34.0204133229731,15.7289177049234,63.947061288799,234.175919731993,131.752782639204,388.737890253351,273541.156222086,34245.6858960107,909318.721003346,34812.0691605468,440.374479369228,153548.03074366,1.76223441799404,0.386381587036172,3.11359511957099
"7",2020-03-30,"Auvergne-Rhône-Alpes",38.7844068387906,16.5870717398834,76.5149817195789,272.960326570784,148.339854379088,465.25287197293,313955.130049264,34642.3984184039,1096502.03188763,40413.9738271779,396.712522393171,187183.310884289,1.76088698220756,0.386379333500787,3.10683967574248
"8",2020-03-31,"Auvergne-Rhône-Alpes",44.1298242561808,17.1930683902307,93.0440709398734,317.090150826964,165.532922769319,558.296942912803,360944.251098745,34999.6391138314,1321563.7401253,46989.1210494813,357.240695427528,225061.708237665,1.7593064287096,0.386377327951548,3.09937428112373
"9",2020-04-01,"Auvergne-Rhône-Alpes",50.1459322878103,17.9448518901765,110.351233324903,367.236083114775,183.477774659495,668.648176237707,415647.834706853,35316.5101511825,1595922.50543101,54703.5836081074,316.871037351086,274358.765305713,1.75745062196709,0.386375543027117,3.08722757678143
"10",2020-04-02,"Auvergne-Rhône-Alpes",56.9505153058311,18.4583904904736,132.502830119751,424.186598420606,201.936165149969,801.151006357457,479395.138143946,35598.5433381922,1930157.39598767,63747.3034370936,282.033187009689,334234.890556656,1.75527003943404,0.386373954384335,3.07599076289749
"11",2020-04-03,"Auvergne-Rhône-Alpes",64.681497611702,19.0892776302183,159.394840094467,488.868096032308,221.025442780187,960.545846451925,553730.047136497,35846.578224122,2328847.60972312,74334.9089925502,248.034885929825,398690.213735456,1.75270670622651,0.38637254038318,3.06164250020196
"12",2020-04-04,"Auvergne-Rhône-Alpes",73.5040714538788,19.2971888707176,192.143186253868,562.372167486187,240.322631650905,1152.68903270579,640435.117172247,36067.7813906186,2804501.80015776,86705.0700357508,221.203166496594,475654.19043464,1.74969310670418,0.386371281787709,3.04926103542453
"13",2020-04-05,"Auvergne-Rhône-Alpes",83.6121944293479,19.3709720421908,232.449168060904,645.984361915534,259.693603693095,1385.1382007667,741552.693318579,36265.0596132502,3376246.62565277,101117.576146331,197.278222631619,571744.825495002,1.74615114898594,0.386370161494951,3.02440823214203
"14",2020-04-06,"Auvergne-Rhône-Alpes",95.2419565311722,19.0639089480342,279.51143927548,741.226318446707,278.75751264113,1664.64964004218,859399.825062337,36441.0037711802,4056156.14543565,117847.131743758,175.944157930043,679909.519782878,1.74199129928572,0.386369164293826,2.99776417121368
