"","key","value","x","country","region"
"1","schools_universities",2020-03-14,4.3,"France","Ain"
"2","self_isolating_if_ill",2020-03-16,4.3,"France","Ain"
"3","public_events",2020-03-13,4.3,"France","Ain"
"4","lockdown",2020-03-17,4.3,"France","Ain"
"5","social_distancing_encouraged",2020-03-16,4,"France","Ain"
"6","schools_universities",2020-03-14,4.3,"France","Aisne"
"7","self_isolating_if_ill",2020-03-16,4.3,"France","Aisne"
"8","public_events",2020-03-13,4.3,"France","Aisne"
"9","lockdown",2020-03-17,4.3,"France","Aisne"
"10","social_distancing_encouraged",2020-03-16,4,"France","Aisne"
"11","schools_universities",2020-03-14,4.3,"France","Allier"
"12","self_isolating_if_ill",2020-03-16,4.3,"France","Allier"
"13","public_events",2020-03-13,4.3,"France","Allier"
"14","lockdown",2020-03-17,4.3,"France","Allier"
"15","social_distancing_encouraged",2020-03-16,4,"France","Allier"
"16","schools_universities",2020-03-14,4.3,"France","Alpes-Maritimes"
"17","self_isolating_if_ill",2020-03-16,4.3,"France","Alpes-Maritimes"
"18","public_events",2020-03-13,4.3,"France","Alpes-Maritimes"
"19","lockdown",2020-03-17,4.3,"France","Alpes-Maritimes"
"20","social_distancing_encouraged",2020-03-16,4,"France","Alpes-Maritimes"
"21","schools_universities",2020-03-14,4.3,"France","Ardèche"
"22","self_isolating_if_ill",2020-03-16,4.3,"France","Ardèche"
"23","public_events",2020-03-13,4.3,"France","Ardèche"
"24","lockdown",2020-03-17,4.3,"France","Ardèche"
"25","social_distancing_encouraged",2020-03-16,4,"France","Ardèche"
"26","schools_universities",2020-03-14,5.3,"France","Ardennes"
"27","self_isolating_if_ill",2020-03-16,5.3,"France","Ardennes"
"28","public_events",2020-03-13,5.3,"France","Ardennes"
"29","lockdown",2020-03-17,5.3,"France","Ardennes"
"30","social_distancing_encouraged",2020-03-16,5,"France","Ardennes"
"31","schools_universities",2020-03-14,4.3,"France","Aube"
"32","self_isolating_if_ill",2020-03-16,4.3,"France","Aube"
"33","public_events",2020-03-13,4.3,"France","Aube"
"34","lockdown",2020-03-17,4.3,"France","Aube"
"35","social_distancing_encouraged",2020-03-16,4,"France","Aube"
"36","schools_universities",2020-03-14,3.3,"France","Aude"
"37","self_isolating_if_ill",2020-03-16,3.3,"France","Aude"
"38","public_events",2020-03-13,3.3,"France","Aude"
"39","lockdown",2020-03-17,3.3,"France","Aude"
"40","social_distancing_encouraged",2020-03-16,3,"France","Aude"
"41","schools_universities",2020-03-14,4.3,"France","Aveyron"
"42","self_isolating_if_ill",2020-03-16,4.3,"France","Aveyron"
"43","public_events",2020-03-13,4.3,"France","Aveyron"
"44","lockdown",2020-03-17,4.3,"France","Aveyron"
"45","social_distancing_encouraged",2020-03-16,4,"France","Aveyron"
"46","schools_universities",2020-03-14,5.3,"France","Bouches-du-Rhône"
"47","self_isolating_if_ill",2020-03-16,5.3,"France","Bouches-du-Rhône"
"48","public_events",2020-03-13,5.3,"France","Bouches-du-Rhône"
"49","lockdown",2020-03-17,5.3,"France","Bouches-du-Rhône"
"50","social_distancing_encouraged",2020-03-16,5,"France","Bouches-du-Rhône"
"51","schools_universities",2020-03-14,4.3,"France","Calvados"
"52","self_isolating_if_ill",2020-03-16,4.3,"France","Calvados"
"53","public_events",2020-03-13,4.3,"France","Calvados"
"54","lockdown",2020-03-17,4.3,"France","Calvados"
"55","social_distancing_encouraged",2020-03-16,4,"France","Calvados"
"56","schools_universities",2020-03-14,1.3,"France","Charente"
"57","self_isolating_if_ill",2020-03-16,1.3,"France","Charente"
"58","public_events",2020-03-13,1.3,"France","Charente"
"59","lockdown",2020-03-17,1.3,"France","Charente"
"60","social_distancing_encouraged",2020-03-16,1,"France","Charente"
"61","schools_universities",2020-03-14,5.3,"France","Charente-Maritime"
"62","self_isolating_if_ill",2020-03-16,5.3,"France","Charente-Maritime"
"63","public_events",2020-03-13,5.3,"France","Charente-Maritime"
"64","lockdown",2020-03-17,5.3,"France","Charente-Maritime"
"65","social_distancing_encouraged",2020-03-16,5,"France","Charente-Maritime"
"66","schools_universities",2020-03-14,5.3,"France","Cher"
"67","self_isolating_if_ill",2020-03-16,5.3,"France","Cher"
"68","public_events",2020-03-13,5.3,"France","Cher"
"69","lockdown",2020-03-17,5.3,"France","Cher"
"70","social_distancing_encouraged",2020-03-16,5,"France","Cher"
"71","schools_universities",2020-03-14,4.3,"France","Corrèze"
"72","self_isolating_if_ill",2020-03-16,4.3,"France","Corrèze"
"73","public_events",2020-03-13,4.3,"France","Corrèze"
"74","lockdown",2020-03-17,4.3,"France","Corrèze"
"75","social_distancing_encouraged",2020-03-16,4,"France","Corrèze"
"76","schools_universities",2020-03-14,4.3,"France","Côte-d'Or"
"77","self_isolating_if_ill",2020-03-16,4.3,"France","Côte-d'Or"
"78","public_events",2020-03-13,4.3,"France","Côte-d'Or"
"79","lockdown",2020-03-17,4.3,"France","Côte-d'Or"
"80","social_distancing_encouraged",2020-03-16,4,"France","Côte-d'Or"
"81","schools_universities",2020-03-14,4.3,"France","Côtes-d'Armor"
"82","self_isolating_if_ill",2020-03-16,4.3,"France","Côtes-d'Armor"
"83","public_events",2020-03-13,4.3,"France","Côtes-d'Armor"
"84","lockdown",2020-03-17,4.3,"France","Côtes-d'Armor"
"85","social_distancing_encouraged",2020-03-16,4,"France","Côtes-d'Armor"
"86","schools_universities",2020-03-14,4.3,"France","Doubs"
"87","self_isolating_if_ill",2020-03-16,4.3,"France","Doubs"
"88","public_events",2020-03-13,4.3,"France","Doubs"
"89","lockdown",2020-03-17,4.3,"France","Doubs"
"90","social_distancing_encouraged",2020-03-16,4,"France","Doubs"
"91","schools_universities",2020-03-14,3.3,"France","Drôme"
"92","self_isolating_if_ill",2020-03-16,3.3,"France","Drôme"
"93","public_events",2020-03-13,3.3,"France","Drôme"
"94","lockdown",2020-03-17,3.3,"France","Drôme"
"95","social_distancing_encouraged",2020-03-16,3,"France","Drôme"
"96","schools_universities",2020-03-14,4.3,"France","Eure"
"97","self_isolating_if_ill",2020-03-16,4.3,"France","Eure"
"98","public_events",2020-03-13,4.3,"France","Eure"
"99","lockdown",2020-03-17,4.3,"France","Eure"
"100","social_distancing_encouraged",2020-03-16,4,"France","Eure"
"101","schools_universities",2020-03-14,5.3,"France","Eure-et-Loir"
"102","self_isolating_if_ill",2020-03-16,5.3,"France","Eure-et-Loir"
"103","public_events",2020-03-13,5.3,"France","Eure-et-Loir"
"104","lockdown",2020-03-17,5.3,"France","Eure-et-Loir"
"105","social_distancing_encouraged",2020-03-16,5,"France","Eure-et-Loir"
"106","schools_universities",2020-03-14,5.3,"France","Finistère"
"107","self_isolating_if_ill",2020-03-16,5.3,"France","Finistère"
"108","public_events",2020-03-13,5.3,"France","Finistère"
"109","lockdown",2020-03-17,5.3,"France","Finistère"
"110","social_distancing_encouraged",2020-03-16,5,"France","Finistère"
"111","schools_universities",2020-03-14,3.3,"France","Corse-du-Sud"
"112","self_isolating_if_ill",2020-03-16,3.3,"France","Corse-du-Sud"
"113","public_events",2020-03-13,3.3,"France","Corse-du-Sud"
"114","lockdown",2020-03-17,3.3,"France","Corse-du-Sud"
"115","social_distancing_encouraged",2020-03-16,3,"France","Corse-du-Sud"
"116","schools_universities",2020-03-14,5.3,"France","Gard"
"117","self_isolating_if_ill",2020-03-16,5.3,"France","Gard"
"118","public_events",2020-03-13,5.3,"France","Gard"
"119","lockdown",2020-03-17,5.3,"France","Gard"
"120","social_distancing_encouraged",2020-03-16,5,"France","Gard"
"121","schools_universities",2020-03-14,4.3,"France","Haute-Garonne"
"122","self_isolating_if_ill",2020-03-16,4.3,"France","Haute-Garonne"
"123","public_events",2020-03-13,4.3,"France","Haute-Garonne"
"124","lockdown",2020-03-17,4.3,"France","Haute-Garonne"
"125","social_distancing_encouraged",2020-03-16,4,"France","Haute-Garonne"
"126","schools_universities",2020-03-14,5.3,"France","Gers"
"127","self_isolating_if_ill",2020-03-16,5.3,"France","Gers"
"128","public_events",2020-03-13,5.3,"France","Gers"
"129","lockdown",2020-03-17,5.3,"France","Gers"
"130","social_distancing_encouraged",2020-03-16,5,"France","Gers"
"131","schools_universities",2020-03-14,4.3,"France","Gironde"
"132","self_isolating_if_ill",2020-03-16,4.3,"France","Gironde"
"133","public_events",2020-03-13,4.3,"France","Gironde"
"134","lockdown",2020-03-17,4.3,"France","Gironde"
"135","social_distancing_encouraged",2020-03-16,4,"France","Gironde"
"136","schools_universities",2020-03-14,3.3,"France","Hérault"
"137","self_isolating_if_ill",2020-03-16,3.3,"France","Hérault"
"138","public_events",2020-03-13,3.3,"France","Hérault"
"139","lockdown",2020-03-17,3.3,"France","Hérault"
"140","social_distancing_encouraged",2020-03-16,3,"France","Hérault"
"141","schools_universities",2020-03-14,4.3,"France","Ille-et-Vilaine"
"142","self_isolating_if_ill",2020-03-16,4.3,"France","Ille-et-Vilaine"
"143","public_events",2020-03-13,4.3,"France","Ille-et-Vilaine"
"144","lockdown",2020-03-17,4.3,"France","Ille-et-Vilaine"
"145","social_distancing_encouraged",2020-03-16,4,"France","Ille-et-Vilaine"
"146","schools_universities",2020-03-14,5.3,"France","Indre"
"147","self_isolating_if_ill",2020-03-16,5.3,"France","Indre"
