"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.016396057962404,-0.0163932588832423,-0.00377695348243873,0.0409529586517019,0.0636017463139185,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163956084061995,-0.0163904750901252,0.0037216776765239,0.0710341487338925,0.103877022141199,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0162371945282059,-0.0150099514357118,0.217609167917979,0.43295458066936,0.460183124948541,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",0.546374794195698,0.563279558003353,0.67188056157081,0.745685633786983,0.754261042378848,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0161489657459677,-0.0135145445966493,0.262068529802335,0.492844715607291,0.516410257450306,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.0081648460506531,-0.00816484593316992,-0.00126985411957165,0.0290505637931232,0.0502794967260907,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.0081648459571785,-0.00816484319587179,0.00620555449614508,0.0698939560134434,0.102075390270409,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816468658963558,-0.00814930729300012,0.219578191434058,0.432299583045773,0.459713840566793,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",0.546963730358194,0.565044123539215,0.672701832442545,0.746149083166987,0.754427015318001,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0081641707079308,-0.0079266844055584,0.263706139211705,0.495578328320692,0.515411680932295,"Later Intervention"
