"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-0.661400168598777,-0.419670596424958,0.281968013439126,0.718364064701459,0.758882189998777,"pooled"
"2","global: transit",0.95,0.9,"mean",0.42028712641918,0.50218209815821,0.7575621342063,0.904668857384848,0.918068677507122,"pooled"
"3","global: averageMobility",0.95,0.9,"mean",-1.16936607947432,-0.907437439787972,-0.0487788248097541,0.535476473850896,0.591323507544753,"pooled"
"4","Denmark: residential",0.95,0.9,"mean",-22.3937341640907,-11.2722038022442,-2.13638599999335,0.975549297436194,0.987757949859765,"partial"
"5","Denmark: transit",0.95,0.9,"mean",0.587608674124479,0.686203164330132,0.883082900129454,0.978191200374014,0.984006283515197,"partial"
"6","Denmark: averageMobility",0.95,0.9,"mean",-199.179910392178,-141.172341210327,-38.787807752755,-1.23806756486475,-0.518677743399662,"partial"
"7","Italy: residential",0.95,0.9,"mean",-39.3588922998975,-19.6754561329695,-5.06397523219196,0.947077861438299,0.971321539453168,"partial"
"8","Italy: transit",0.95,0.9,"mean",-1.03535232669647,-0.336436349004895,0.598335820948804,0.976768457335654,0.98417177915387,"partial"
"9","Italy: averageMobility",0.95,0.9,"mean",-14.3096307309799,-9.57888638303769,-1.94203656156625,0.783531754019273,0.857973431754691,"partial"
"10","Germany: residential",0.95,0.9,"mean",-8.65281378597373,-4.89927376009932,-0.809634924749604,0.986711461755569,0.993685377944517,"partial"
"11","Germany: transit",0.95,0.9,"mean",0.61993602248536,0.710017316983148,0.895286691939213,0.981623127435952,0.9860030605493,"partial"
"12","Germany: averageMobility",0.95,0.9,"mean",-46.9274450042,-34.8525778317412,-8.88486682350018,0.291134382493781,0.494903808807961,"partial"
"13","Spain: residential",0.95,0.9,"mean",-37.0568456255418,-21.6791251156489,-6.26027497165095,0.959666486829766,0.980447394948849,"partial"
"14","Spain: transit",0.95,0.9,"mean",-4.53869315414312,-2.85867443374179,-0.0674945496566017,0.951012569137737,0.967065065286328,"partial"
"15","Spain: averageMobility",0.95,0.9,"mean",-6.99493556226508,-4.29261747157945,-0.401513802881479,0.949886561212306,0.96673537875873,"partial"
"16","United_Kingdom: residential",0.95,0.9,"mean",-23.5933201741959,-10.9860779610734,-3.21194578035286,0.963558942611458,0.97861383072977,"partial"
"17","United_Kingdom: transit",0.95,0.9,"mean",-4.96051486622267,-3.04366950617701,-0.353396436423801,0.877516360498998,0.908534313171134,"partial"
"18","United_Kingdom: averageMobility",0.95,0.9,"mean",-0.710683840109928,-0.203635949260289,0.650888544749005,0.981667479794801,0.987198349486901,"partial"
"19","France: residential",0.95,0.9,"mean",-29.2015434432466,-14.5716863367976,-3.27848467253108,0.957655963585911,0.97878319469696,"partial"
"20","France: transit",0.95,0.9,"mean",-11.1533733500386,-7.4623733599662,-1.35624950373989,0.85231848503606,0.915662313751642,"partial"
"21","France: averageMobility",0.95,0.9,"mean",-1.90014002137886,-0.93391712670215,0.53222008306679,0.986190651137517,0.992127916011403,"partial"
"22","Norway: residential",0.95,0.9,"mean",-10.0667743923013,-4.77718525532518,-0.89911165631853,0.983858809290625,0.99295519231482,"partial"
"23","Norway: transit",0.95,0.9,"mean",0.739513221505351,0.816410598710908,0.944769045658727,0.995705963086663,0.997082803225204,"partial"
"24","Norway: averageMobility",0.95,0.9,"mean",-53.2872703042651,-37.4289028324652,-10.6610524628764,-0.32735430228106,-0.0244269347216002,"partial"
"25","Belgium: residential",0.95,0.9,"mean",-35.8293860177435,-19.9986265948861,-4.00005068277408,0.957450517836711,0.975423215611536,"partial"
"26","Belgium: transit",0.95,0.9,"mean",-30.2976391749484,-19.7186942166512,-5.09245187640567,0.672900506432796,0.78588311511933,"partial"
"27","Belgium: averageMobility",0.95,0.9,"mean",0.446967102890902,0.645850442651642,0.903163739958882,0.996291916712254,0.997447656469789,"partial"
"28","Austria: residential",0.95,0.9,"mean",-28.4416417573336,-14.4324454163901,-3.31337849771128,0.967157094653066,0.985038228519376,"partial"
"29","Austria: transit",0.95,0.9,"mean",0.0262411269377509,0.274447423950196,0.802003832921205,0.989328359654369,0.99206588181041,"partial"
"30","Austria: averageMobility",0.95,0.9,"mean",-23.8455095040614,-13.3694406764381,-2.50403689516521,0.917808187042667,0.950859892417815,"partial"
"31","Sweden: residential",0.95,0.9,"mean",-13.8478724353101,-6.26807688366266,-0.902090035141744,0.980949167736352,0.990872553107098,"partial"
"32","Sweden: transit",0.95,0.9,"mean",0.89587260548255,0.919572787686978,0.971619199620795,0.995698945337672,0.996915653572432,"partial"
"33","Sweden: averageMobility",0.95,0.9,"mean",-698.807369055218,-383.425563078192,-114.474105967805,-3.92628500092822,-2.30649322328654,"partial"
"34","Switzerland: residential",0.95,0.9,"mean",-18.0106389134285,-10.1391637863584,-3.27235328840059,0.981247273721484,0.990612515871126,"partial"
"35","Switzerland: transit",0.95,0.9,"mean",-0.560287763370817,-0.095115437819773,0.694234878877228,0.979476291207989,0.98706132568282,"partial"
"36","Switzerland: averageMobility",0.95,0.9,"mean",-4.44858893246819,-2.08964306319349,0.174972441301295,0.987317500494042,0.992615781759884,"partial"
"37","Greece: residential",0.95,0.9,"mean",-29.924378464602,-17.2410795728873,-3.56525789032219,0.960366625833252,0.978972999768454,"partial"
"38","Greece: transit",0.95,0.9,"mean",-8.77704728994585,-4.92364139130997,-0.636911894345185,0.937229339913779,0.96108676968261,"partial"
"39","Greece: averageMobility",0.95,0.9,"mean",-8.03728734882913,-5.2664943738725,-0.477024476058885,0.96671173215647,0.981844104750447,"partial"
"40","Portugal: residential",0.95,0.9,"mean",-35.1780074834265,-17.0095485537634,-4.87557186513191,0.949524810325765,0.967726687953381,"partial"
"41","Portugal: transit",0.95,0.9,"mean",-5.89100747344534,-3.25095384949093,-0.19657312863811,0.961868351144066,0.97777200619635,"partial"
"42","Portugal: averageMobility",0.95,0.9,"mean",-6.95837628046483,-3.96185502916382,-0.371536038732047,0.945873596474325,0.963944985824829,"partial"
"43","Netherlands: residential",0.95,0.9,"mean",-26.2511355775267,-12.1791725883865,-3.26249892430753,0.965838911277739,0.98029670258929,"partial"
"44","Netherlands: transit",0.95,0.9,"mean",0.517594267507487,0.610146238988448,0.85554643478447,0.97460785758357,0.981643595682663,"partial"
"45","Netherlands: averageMobility",0.95,0.9,"mean",-14.8034866930446,-7.73458283687621,-1.35981108619284,0.965440533260951,0.979653241339206,"partial"
