"","region","country","IFR"
"1","Denmark","Denmark",0.0102074697882139
"2","Italy","Italy",0.0124496263593357
"3","Germany","Germany",0.0123324426034139
"4","Spain","Spain",0.0107838730158524
"5","United_Kingdom","United_Kingdom",0.0103504384028517
"6","France","France",0.012556187488595
"7","Belgium","Belgium",0.0109598776668092
"8","Austria","Austria",0.0103882259256609
"9","Sweden","Sweden",0.0103110432111081
"10","Switzerland","Switzerland",0.0102134528252841
"11","Greece","Greece",0.0117992290838236
"12","Portugal","Portugal",0.0117258680881815
"13","Netherlands","Netherlands",0.010289760240957
